"","author","row_num"
"328","DAVIDSON E",146
"329","DRINKENBURG B",147
"330","SCHUPP BA",148
"331","LEMKOWITZ SM",148
"332","GOOSSENS LHJ",148
"333","HALE AR",148
"334","PASMAN HJ",148
"335","QURESHI S",149
"336","VAN DER VAART A",149
"337","KAULINGFREEKS G",149
"338","DE VREEDE GJ",149
"339","BRIGGS RO",149
"340","NUNAMAKER J",149
"341","FLATER D",150
"342","PANDIAN MV",151
"343","NAGARAJAN R",151
"344","YAACOB S",151
"345","DAMIAN DE",152
"346","ZOWGHI D",152
"347","GIESKES JFB",153
"348","HYLAND PW",153
"349","CHAPMAN R",153
"350","DE TURCK F",154
"351","VANHASTEL S",154
"352","THYSEBAERT P",154
"353","VOLCKAERT B",154
"354","DEMEESTER P",154
"355","DHOEDT B",154
"356","GAU AT",155
"357","HARDY S",155
"358","RANDHAWA T",155
"359","BANDMANN O",156
"360","DAM M",156
"361","FIROZABADI BS",156
"362","MENDONA D",157
"363","WALLACE WA",157
"364","KUMAR V",158
"365","JAIN PK",158
"366","BOTS PWG",159
"367","DE BRUIJN H",159
"368","HERSTATT C",160
"369","CONSTANTINIDES E",161
"370","BULL RI",162
"371","TREVORS A",162
"372","MALTON AJ",162
"373","GODFREY MW",162
"374","ANCKAR B",163
"375","D'INCAU D",163
"376","DEL AGUILA AR",164
"377","BRUQUE S",164
"378","PADILLA A",164
"379","BERNARDINO J",165
"380","FURTADO P",165
"381","MADEIRA H",165
"382","GNATZ M",166
"383","MARSCHALL F",166
"384","POPP G",166
"385","RAUSCH A",166
"386","SCHWERIN W",166
"387","SNELL Q",167
"388","TEW K",167
"389","EKSTROM J",167
"390","CLEMENT M",167
"391","HARRISON NJ",168
"392","REGER G",169
"393","DEVOIVRE T",170
"394","LUNENBORG M",170
"395","JULIEN C",170
"396","CARRERE JP",170
"397","FERREIRA P",170
"398","TOREN WJ",170
"399","VANDEGOOR A",170
"400","GAYET P",170
"401","BERGER T",170
