"","K","Exclusivity","SemanticCoherence","Model"
"96","6",9.53392954874366,-93.3345581327522,"Model K = 21"
"97","7",9.77654790239907,-111.918852223516,"Model K = 21"
"98","8",9.6026085948269,-94.3616139160809,"Model K = 21"
"99","9",9.48785672660521,-71.9968776492721,"Model K = 21"
"100","10",9.67160315046488,-92.3677961143681,"Model K = 21"
"101","11",9.67534005944182,-92.2163009700513,"Model K = 21"
"102","12",9.41782673854769,-111.260454154701,"Model K = 21"
"103","13",9.60930562346952,-84.8175248477068,"Model K = 21"
"104","14",9.26352291409079,-81.3930017417125,"Model K = 21"
"105","15",9.69112041871224,-122.745152896173,"Model K = 21"
"106","16",9.55262750802006,-130.5342717553,"Model K = 21"
"107","17",9.71724639639,-62.4267933283212,"Model K = 21"
"108","18",9.36240603629563,-98.5369743565169,"Model K = 21"
"109","19",9.59748253994385,-79.64918494423,"Model K = 21"
"110","20",9.6398295896882,-79.4274342296029,"Model K = 21"
"111","21",9.85089373759303,-126.69332763037,"Model K = 21"
